GID,"Last, First",First  Last,Date,Team,Opp,H/A,GameID,GTime(ET),Team pts,Opp pts,Start,Minutes,GP,active,FDP,DKP,DDP,YHP,Stats,DoubleD,TripleD,FD Sal,FD Change,DK Sal,DK Change,DD Sal,DD Change,YH Sal,YH Change,FD pos,DK pos,DD pos,YH pos,date
4759,"Nogueira, Lucas",Lucas Nogueira,20170108,tor,hou,H,20170108-hou-tor,18,122,129,0,12.53333333,1,1,12.8,13,13,12.8,4pt 4rb 1st 1bl 2-2fg,0,0,3600,0,3400,0,7500,50,10,0,5,5,5,5,2017-01-08
3975,"Brewer, Corey",Corey Brewer,20170108,hou,tor,A,20170108-hou-tor,18,129,122,0,13.66666667,1,1,14.4,15,14.25,14.4,2pt 2rb 2as 3st 1bl 1to 1-4fg,0,0,3500,0,3000,0,5000,0,10,0,3,23,23,2,2017-01-08
4107,"Jordan, DeAndre",DeAndre Jordan,20170108,lac,mia,H,20170108-mia-lac,15.5,98,86,1,33.56666667,1,1,29.6,31,29.25,29.6,7pt 18rb 1bl 1to 2-4fg 3-8ft,0,0,7600,100,7100,0,14600,-650,25,-2,5,5,5,5,2017-01-08
3895,"Novak, Steve",Steve Novak,20170108,mil,was,H,20170108-was-mil,14,101,107,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,3,3,34,3,2017-01-08
4168,"Johnson, James",James Johnson,20170108,mia,lac,A,20170108-mia-lac,15.5,86,98,0,26.53333333,1,1,24.7,27.5,27,25.7,12pt 6rb 3as 1st 1bl 3to 2trey 4-10fg 2-2ft,0,0,5600,100,6200,500,8150,-800,20,0,4,4,34,4,2017-01-08
4838,"Johnson, Stanley",Stanley Johnson,20170108,det,por,A,20170108-det-por,21,125,124,0,25.35,1,1,15,16.25,16.5,15.5,5pt 5rb 2as 1st 1to 1trey 2-3fg,0,0,3500,0,NA,NA,5300,-500,NA,NA,3,NA,23,NA,2017-01-08
4709,"Bogdanovic, Bojan",Bojan Bogdanovic,20170108,bkn,phi,H,20170108-phi-bkn,12,95,105,1,35.48333333,1,1,26.1,28.5,27.25,27.1,12pt 8rb 3as 1st 2to 2trey 5-14fg,0,0,4100,0,4600,400,9100,850,15,0,3,23,23,3,2017-01-08
4475,"Sullinger, Jared",Jared Sullinger,20170108,tor,hou,H,20170108-hou-tor,18,122,129,0,0,0,0,0,0,0,0,,0,0,NA,NA,3000,0,5000,0,18,0,NA,5,45,4,2017-01-08
4102,"Hill, George",George Hill,20170108,uta,mem,A,20170108-uta-mem,20,79,88,1,32.51666667,1,1,22.8,26,24.75,23.8,15pt 4rb 2as 1st 1bl 4to 2trey 6-14fg 1-2ft,0,0,6200,0,6000,-300,13850,0,27,0,1,1,12,1,2017-01-08
4211,"DeRozan, DeMar",DeMar DeRozan,20170108,tor,hou,H,20170108-hou-tor,18,122,129,1,39.36666667,1,1,46.7,50,48,46.7,36pt 6rb 5as 1bl 6to 13-21fg 10-10ft,0,0,8600,300,8100,100,16750,0,40,0,2,2,23,2,2017-01-08
4620,"Gobert, Rudy",Rudy Gobert,20170108,uta,mem,A,20170108-uta-mem,20,79,88,1,36.26666667,1,1,27.6,30.25,29,27.6,5pt 13rb 2as 3st 1bl 4to 1-3fg 3-6ft,0,0,7300,-400,6600,-500,14550,50,29,-2,5,5,5,5,2017-01-08
4071,"Beasley, Michael",Michael Beasley,20170108,mil,was,H,20170108-was-mil,14,101,107,0,15.81666667,1,1,20.2,21.25,21,20.7,18pt 1rb 1st 1to 1trey 6-9fg 5-5ft,0,0,3500,0,3100,-100,5850,250,10,0,3,34,34,3,2017-01-08
4918,"Luwawu, Timothe",Timothe Luwawu,20170108,phi,bkn,A,20170108-phi-bkn,12,105,95,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,2,2,23,2,2017-01-08
3311,"Jefferson, Richard",Richard Jefferson,20170108,cle,pho,A,20170108-cle-pho,20.5,120,116,0,18.85,1,1,3,4.5,4.5,3.5,3pt 1st 2to 1trey 1-3fg,0,0,3500,0,3300,-200,5000,0,10,0,3,34,23,3,2017-01-08
4209,"Casspi, Omri",Omri Casspi,20170108,sac,gsw,H,20170108-gsw-sac,21,106,117,0,0,0,1,0,0,0,0,,0,0,3800,0,3000,-300,7350,150,10,0,4,3,34,3,2017-01-08
4701,"Ingles, Joe",Joe Ingles,20170108,uta,mem,A,20170108-uta-mem,20,79,88,0,16.8,1,1,7.8,8.5,7.75,7.8,1pt 4rb 2as 1to 0-1fg 1-3ft,0,0,3900,0,3700,-300,5750,0,10,0,3,23,23,3,2017-01-08
4285,"Hayward, Gordon",Gordon Hayward,20170108,uta,mem,A,20170108-uta-mem,20,79,88,1,33.73333333,1,1,32,35.25,34.25,33.5,22pt 5rb 2as 2st 3to 3trey 6-14fg 7-9ft,0,0,7200,-300,7100,-300,15150,-50,37,-2,3,3,23,3,2017-01-08
4085,"Anderson, Ryan",Ryan Anderson,20170108,hou,tor,A,20170108-hou-tor,18,129,122,1,32.25,1,1,15.8,16.5,15.5,16.3,9pt 4rb 1st 1trey 2-8fg 4-4ft,0,0,5400,-100,5400,-200,10700,300,19,-2,4,4,45,4,2017-01-08
4820,"Looney, Kevon",Kevon Looney,20170108,gsw,sac,A,20170108-gsw-sac,21,117,106,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,4,4,4,4,2017-01-08
3871,"Tucker, P.J.",P.J. Tucker,20170108,pho,cle,H,20170108-cle-pho,20.5,116,120,0,28.4,1,1,19.8,21,20.5,19.8,10pt 4rb 2as 2st 2to 4-6fg 2-2ft,0,0,3900,0,4100,200,6900,-400,10,0,3,3,23,3,2017-01-08
4172,"Griffin, Blake",Blake Griffin,20170108,lac,mia,H,20170108-mia-lac,15.5,98,86,0,0,0,0,0,0,0,0,,0,0,8800,0,7700,100,16300,-800,41,0,4,45,45,4,2017-01-08
4570,"Covington, Robert",Robert Covington,20170108,phi,bkn,A,20170108-phi-bkn,12,105,95,1,37.3,1,1,39.7,43.25,42.5,40.2,15pt 11rb 1as 5st 1bl 2to 1trey 5-12fg 4-4ft,1,0,5200,-100,5500,200,11750,50,20,0,3,23,34,3,2017-01-08
4806,"Lyles, Trey",Trey Lyles,20170108,uta,mem,A,20170108-uta-mem,20,79,88,0,11.83333333,1,1,16.9,18.5,19.5,18.4,11pt 2rb 1as 1st 3trey 3-4fg 2-3ft,0,0,3500,0,3100,0,7150,0,10,0,4,4,4,4,2017-01-08
4036,"Young, Nick",Nick Young,20170108,lal,orl,H,20170108-orl-lal,21.5,111,95,1,19.46666667,1,1,3.2,4.25,2.75,3.2,2pt 1rb 1bl 2to 1-7fg,0,0,4400,-300,4400,-200,7800,650,16,0,2,2,23,2,2017-01-08
4925,"Simmons, Ben",Ben Simmons,20170108,phi,bkn,A,20170108-phi-bkn,12,105,95,0,0,0,0,0,0,0,0,,0,0,NA,NA,3000,0,5300,0,10,0,NA,1,34,1,2017-01-08
3749,"Frye, Channing",Channing Frye,20170108,cle,pho,A,20170108-cle-pho,20.5,120,116,0,18.3,1,1,14.8,16,16,15.8,10pt 4rb 2trey 4-8fg,0,0,3800,100,4000,-300,7000,-250,10,0,4,45,45,4,2017-01-08
4897,"Williams, Alan",Alan Williams,20170108,pho,cle,H,20170108-cle-pho,20.5,116,120,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,5,5,4,5,2017-01-08
4619,"Bennett, Anthony",Anthony Bennett,20170108,bkn,phi,H,20170108-phi-bkn,12,95,105,0,0,0,1,0,0,0,0,,0,0,3500,-100,3000,0,5000,0,10,0,4,3,34,3,2017-01-08
4407,"Morris, Marcus",Marcus Morris,20170108,det,por,A,20170108-det-por,21,125,124,1,46.28333333,1,1,25.5,25.75,22.75,25.5,10pt 5rb 5as 1st 5-17fg,0,0,4600,300,NA,NA,9000,-750,NA,NA,3,NA,34,NA,2017-01-08
4756,"Johnson, Tyler",Tyler Johnson,20170108,mia,lac,A,20170108-mia-lac,15.5,86,98,0,32.53333333,1,1,24.9,26.25,24.5,25.4,12pt 7rb 1as 1st 1bl 1to 1trey 4-12fg 3-4ft,0,0,6000,-100,5400,-400,10300,-1350,21,-2,1,1,12,1,2017-01-08
4811,"Connaughton, Pat",Pat Connaughton,20170108,por,det,H,20170108-det-por,21,124,125,0,0,0,1,0,0,0,0,,0,0,3500,0,NA,NA,5000,0,NA,NA,2,NA,23,NA,2017-01-08
4760,"Dinwiddie, Spencer",Spencer Dinwiddie,20170108,bkn,phi,H,20170108-phi-bkn,12,95,105,0,25.4,1,1,20.1,20.75,20,20.1,9pt 3rb 3as 2bl 1to 3-5fg 3-4ft,0,0,3600,100,3300,300,5000,0,10,0,1,1,1,1,2017-01-08
4412,"Harris, Tobias",Tobias Harris,20170108,det,por,A,20170108-det-por,21,125,124,0,38.11666667,1,1,31.3,32.75,30.5,31.3,14pt 9rb 3as 1st 1bl 2to 7-16fg,0,0,6000,100,NA,NA,10350,-900,NA,NA,4,NA,34,NA,2017-01-08
4185,"Ellington, Wayne",Wayne Ellington,20170108,mia,lac,A,20170108-mia-lac,15.5,86,98,1,20.08333333,1,1,5.5,5.5,4,5.5,4pt 1as 1-7fg 2-2ft,0,0,3800,-200,3400,-300,6000,-650,11,0,2,23,23,2,2017-01-08
4699,"Payton, Elfrid",Elfrid Payton,20170108,orl,lal,A,20170108-orl-lal,21.5,95,111,1,18.88333333,1,1,21.2,23.5,22.25,21.7,9pt 6rb 4as 1st 3to 1trey 4-11fg,0,0,6200,-100,6400,400,13300,1050,19,0,1,1,1,1,2017-01-08
4405,"Joseph, Cory",Cory Joseph,20170108,tor,hou,H,20170108-hou-tor,18,122,129,0,22.81666667,1,1,13.2,13.75,12.75,13.2,10pt 1rb 2as 1to 4-8fg 2-2ft,0,0,3900,0,3500,0,7300,-50,10,0,1,1,1,1,2017-01-08
5004,"Poeltl, Jakob",Jakob Poeltl,20170108,tor,hou,H,20170108-hou-tor,18,122,129,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,5,5,5,5,2017-01-08
4857,"Harrell, Montrezl",Montrezl Harrell,20170108,hou,tor,A,20170108-hou-tor,18,129,122,0,25.63333333,1,1,35,35.75,35,35,28pt 5rb 1bl 1to 12-13fg 4-6ft,0,0,4600,-400,5200,-300,5900,0,17,0,5,45,4,5,2017-01-08
4828,"Oubre, Kelly",Kelly Oubre,20170108,was,mil,A,20170108-was-mil,14,107,101,0,25.05,1,1,25.5,27.75,27.5,27,17pt 5rb 1as 1st 1to 3trey 7-14fg,0,0,3500,0,3400,-100,6450,300,10,0,3,23,3,3,2017-01-08
4173,"Curry, Stephen",Stephen Curry,20170108,gsw,sac,A,20170108-gsw-sac,21,117,106,1,37.1,1,1,43.8,48.5,48.25,46.3,30pt 4rb 6as 2st 4to 5trey 11-22fg 3-3ft,0,0,9000,900,9000,500,19450,1250,40,-2,1,1,12,1,2017-01-08
3527,"Diaw, Boris",Boris Diaw,20170108,uta,mem,A,20170108-uta-mem,20,79,88,0,18.7,1,1,7.6,7.75,7.5,7.6,2pt 3rb 1bl 1-2fg,0,0,3500,0,3000,0,5000,0,10,0,4,45,45,5,2017-01-08
3544,"Jones, James",James Jones,20170108,cle,pho,A,20170108-cle-pho,20.5,120,116,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,2,2,23,2,2017-01-08
4113,"Mbah a Moute, Luc",Luc Mbah a Moute,20170108,lac,mia,H,20170108-mia-lac,15.5,98,86,1,27.63333333,1,1,10.2,10.75,9.5,10.2,6pt 1rb 1st 1bl 1to 3-8fg,0,0,3500,0,3200,-200,5000,-100,10,0,3,34,34,3,2017-01-08
4703,"Stauskas, Nik",Nik Stauskas,20170108,phi,bkn,A,20170108-phi-bkn,12,105,95,1,30.5,1,1,25,27.25,28,26.5,15pt 5rb 2as 1bl 1to 3trey 4-7fg 4-4ft,0,0,3500,0,3800,0,6150,0,10,0,2,23,23,2,2017-01-08
4515,"Waiters, Dion",Dion Waiters,20170108,mia,lac,A,20170108-mia-lac,15.5,86,98,0,15.1,1,1,9.4,10.5,9.5,9.9,8pt 2rb 1to 1trey 2-7fg 3-4ft,0,0,5000,-100,3900,-200,9800,-1300,18,0,2,2,23,2,2017-01-08
4234,"Beverley, Patrick",Patrick Beverley,20170108,hou,tor,A,20170108-hou-tor,18,129,122,1,32.15,1,1,19.9,20.5,19.5,19.9,6pt 2rb 7as 1bl 1to 2-6fg 2-2ft,0,0,6000,100,5700,300,10600,-950,18,0,1,1,12,1,2017-01-08
3621,"Ariza, Trevor",Trevor Ariza,20170108,hou,tor,A,20170108-hou-tor,18,129,122,1,41.53333333,1,1,32.9,36.25,37.5,35.4,17pt 7rb 3as 2st 1to 5trey 5-10fg 2-2ft,0,0,5300,-600,5600,-300,11350,50,25,2,3,3,23,3,2017-01-08
4489,"Drummond, Andre",Andre Drummond,20170108,det,por,A,20170108-det-por,21,125,124,1,51.9,1,1,55.8,58.5,57,55.8,28pt 14rb 4st 2bl 1to 13-20fg 2-3ft,1,0,7800,-100,NA,NA,16900,700,NA,NA,5,NA,45,NA,2017-01-08
4914,"Johnson, Brice",Brice Johnson,20170108,lac,mia,H,20170108-mia-lac,15.5,98,86,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,4,4,4,4,2017-01-08
3858,"Foye, Randy",Randy Foye,20170108,bkn,phi,H,20170108-phi-bkn,12,95,105,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,2,1,12,2,2017-01-08
3970,"Afflalo, Arron",Arron Afflalo,20170108,sac,gsw,H,20170108-gsw-sac,21,106,117,0,14.26666667,1,1,8.2,8.75,8.75,8.7,5pt 1rb 1st 1trey 2-4fg,0,0,3500,-200,3000,-100,5400,150,10,0,2,2,23,2,2017-01-08
4770,"Kilpatrick, Sean",Sean Kilpatrick,20170108,bkn,phi,H,20170108-phi-bkn,12,95,105,0,25.35,1,1,15.1,18.75,18.5,16.1,10pt 3rb 3as 1st 5to 2trey 4-9fg,0,0,4300,-400,5300,0,10050,550,19,0,2,2,12,2,2017-01-08
3314,"Randolph, Zach",Zach Randolph,20170108,mem,uta,H,20170108-uta-mem,20,88,79,0,27.3,1,1,35.7,38.75,36.75,35.7,13pt 11rb 1as 3st 2bl 2to 6-16fg 1-1ft,1,0,5500,0,5700,200,9650,-1350,20,2,4,45,45,4,2017-01-08
4109,"Koufos, Kosta",Kosta Koufos,20170108,sac,gsw,H,20170108-gsw-sac,21,106,117,0,16.41666667,1,1,13.4,14.75,14.25,13.4,2pt 7rb 2as 1st 2to 1-3fg,0,0,3800,-100,3200,-300,6000,200,10,0,5,5,45,5,2017-01-08
4416,"Williams, Derrick",Derrick Williams,20170108,mia,lac,A,20170108-mia-lac,15.5,86,98,1,21.46666667,1,1,8.6,9.75,8.75,8.6,2pt 3rb 2as 1st 2to 1-5fg,0,0,3500,0,3000,0,6700,-700,10,0,4,4,34,4,2017-01-08
4504,"Green, Draymond",Draymond Green,20170108,gsw,sac,A,20170108-gsw-sac,21,117,106,1,32.26666667,1,1,36.4,39.25,38.5,36.9,9pt 7rb 10as 2st 2bl 4to 1trey 4-9fg,0,0,8000,200,7500,0,17900,1200,36,0,4,45,34,4,2017-01-08
4034,"Wright, Brandan",Brandan Wright,20170108,mem,uta,H,20170108-uta-mem,20,88,79,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,5,4,45,4,2017-01-08
4104,"Ibaka, Serge",Serge Ibaka,20170108,orl,lal,A,20170108-orl-lal,21.5,95,111,1,37.88333333,1,1,34,37,35.75,34.5,19pt 10rb 1st 1bl 1to 1trey 8-17fg 2-2ft,1,0,6600,-200,6700,300,13000,650,29,0,4,45,45,4,2017-01-08
4787,"Winslow, Justise",Justise Winslow,20170108,mia,lac,A,20170108-mia-lac,15.5,86,98,0,0,0,1,0,0,0,0,,0,0,NA,NA,4000,0,9750,-1050,19,0,NA,4,34,3,2017-01-08
4092,"Dragic, Goran",Goran Dragic,20170108,mia,lac,A,20170108-mia-lac,15.5,86,98,1,42.08333333,1,1,34.5,38.25,36.75,35.5,24pt 5rb 5as 1st 5to 2trey 9-18fg 4-5ft,0,0,6500,-600,6800,-600,14050,-1900,32,0,1,1,12,1,2017-01-08
4299,"Mozgov, Timofey",Timofey Mozgov,20170108,lal,orl,H,20170108-orl-lal,21.5,111,95,1,30.18333333,1,1,30.8,31.25,31.25,30.8,15pt 9rb 2as 1st 7-7fg 1-1ft,0,0,3500,-100,3100,-200,7750,-250,10,0,5,5,5,5,2017-01-08
3985,"Dudley, Jared",Jared Dudley,20170108,pho,cle,H,20170108-cle-pho,20.5,116,120,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,-200,7050,-400,10,0,4,4,34,4,2017-01-08
4807,"Neto, Raul",Raul Neto,20170108,uta,mem,A,20170108-uta-mem,20,79,88,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,1,1,1,1,2017-01-08
4835,"Holmes, Richaun",Richaun Holmes,20170108,phi,bkn,A,20170108-phi-bkn,12,105,95,0,0,0,1,0,0,0,0,,0,0,3700,0,3700,0,6400,150,10,0,4,4,45,4,2017-01-08
4531,"Nicholson, Andrew",Andrew Nicholson,20170108,was,mil,A,20170108-was-mil,14,107,101,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,4,5,4,5,2017-01-08
3679,"Varejao, Anderson",Anderson Varejao,20170108,gsw,sac,A,20170108-gsw-sac,21,117,106,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,5,5,45,4,2017-01-08
4525,"Henson, John",John Henson,20170108,mil,was,H,20170108-was-mil,14,101,107,1,14.68333333,1,1,6.2,7.25,6.75,6.2,2pt 1rb 2as 1st 2to 1-3fg,0,0,3700,0,3400,0,8400,-100,10,0,5,5,45,5,2017-01-08
3397,"Andersen, Chris",Chris Andersen,20170108,cle,pho,A,20170108-cle-pho,20.5,120,116,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,5,5,45,4,2017-01-08
